학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,과학,생명,"⋅생물은 세포로 이루어져 있고, 여러 구성 단계가 유기적으로 연관되어 있으며, 조화로운 작용을 통해 건강한 몸을 유지한다.
⋅식물은 광합성으로 양분을 만들며, 생물은 호흡을 통해 생명 활동에 필요한 에너지를 얻는다.
⋅동물은 다양한 감각 기관을 통해 자극을 받아들이고, 신경계와 호르몬의 작용을 통해 반응한다.
⋅생물은 생식을 통해 자손을 생산하고, 생물의 형질은 유전자에 의해 자손에게 전달되며, 생물의 유전 현상은 사람의 가계에서도 관찰된다.
⋅우리 주변의 다양한 생물은 환경과 영향을 주고받으며 밀접한 관계를 맺고 있으며, 생물다양성은 생태계와 인간의 삶과도 밀접하게 관련되어 있다.",⋅동물의 생김새,[4과02-01],여러 가지 동물을 관찰하여 특징에 따라 동물을 분류할 수 있다.,여러 가지 동물을 관찰하고 특징에 따라 분류 기준을 정하여 동물을 분류할 수 있다.,여러 가지 동물을 관찰하여 공통된 특징과 구별되는 특징을 말할 수 있다.,여러 가지 동물을 관찰하여 그 특징을 말할 수 있다.,[4과02-01] 동물의 형태적 특징을 찾고 그 특징에 따라 분류 기준을 정하여 분류하는 활동을 하도록 하며 생물학적 분류 체계는 다루지 않는다.
3~4,과학,생명,,⋅동물의 생김새,[4과02-02],다양한 환경에 서식하는 동물을 조사하여 동물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.,다양한 환경에 서식하는 동물을 조사하여 동물의 생김새와 생활 방식이 사는 환경과 어떻게 관련되어 있는지 설명할 수 있다.,다양한 환경에 따라 동물의 생김새와 생활 방식이 다름을 발표할 수 있다.,다양한 환경에 사는 동물의 생김새를 말할 수 있다.,"[4과02-02] 서식지에 따른 동물의 생김새와 생활 방식의 다양성을 다루고, 적응 개념은 다루지 않는다."
3~4,과학,생명,,⋅동물의 생김새,[4과02-03],동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.,동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 독창적인 아이디어로 설계하고 협력적으로 소통할 수 있다.,동물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하고 발표할 수 있다.,동물의 특징을 이용하여 설계한 생활용품을 말할 수 있다.,
3~5,과학,생명,,⋅식물의 생김새,[4과03-01],여러 가지 식물을 관찰하여 특징에 따라 식물을 분류할 수 있다.,여러 가지 식물을 관찰하고 특징에 따라 분류 기준을 정하여 식물을 분류할 수 있다.,여러 가지 식물을 관찰하여 공통된 특징과 구별되는 특징을 말할 수 있다.,여러 가지 식물을 관찰하여 그 특징을 말할 수 있다.,[4과03-01] 여러 가지 식물의 잎을 채집해 생김새 등과 같은 외형적 특징에 따라 기준을 세워 분류하는 활동을 하며 생물학적 분류 체계는 다루지 않는다.
3~6,과학,생명,,⋅식물의 생김새,[4과03-02],다양한 환경에 서식하는 식물을 조사하여 식물의 생김새와 생활 방식이 환경과 관련되어 있음을 설명할 수 있다.,다양한 환경에 서식하는 식물을 조사하여 식물의 생김새와 생활 방식이 서식하는 환경과 어떻게 관련되어 있는지 설명할 수 있다.,다양한 환경에 따라 식물의 생김새와 생활 방식이 다름을 발표할 수 있다.,다양한 환경에 서식하는 식물의 생김새를 말할 수 있다.,"[4과03-02] 서식지에 따른 식물의 생김새와 생활 방식의 다양성을 다루고, 적응 개념은 다루지 않는다."
3~7,과학,생명,,⋅식물의 생김새,[4과03-03],식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하여 협력적으로 소통할 수 있다.,식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 독창적인 아이디어로 설계하고 협력적으로 소통할 수 있다.,식물의 특징을 이용하여 일상생활에서 활용할 수 있는 생활용품을 설계하고 발표할 수 있다.,식물의 특징을 이용하여 설계한 생활용품을 말할 수 있다.,
3~4,과학,생명,,⋅동물의 생김새,[4과04-01],"동물의 한살이를 직접 관찰하고, 관찰한 내용을 글과 그림으로 표현할 수 있다.","동물을 직접 기르면서 동물의 한살이를 관찰하고, 관찰한 내용을 글과 그림으로 표현하여 관찰 보고서를 쓸 수 있다.",곤충의 한살이를 관찰하여 곤충의 모습이 달라짐을 말할 수 있다.,곤충의 한살이를 관찰할 수 있다.,
3~4,과학,생명,,⋅식물의 생김새,[4과04-02],식물이 자라는 데 필요한 조건을 찾는 실험을 설계하여 수행할 수 있다.,"씨가 싹 트거나 식물이 자라는 데 필요한 조건을 찾는 실험을 설계하여 수행하고, 그 결과를 설명할 수 있다.",식물이 자라는 데 필요한 조건을 찾는 실험을 설계할 수 있다.,식물이 자라는 데 필요한 조건을 말할 수 있다.,"[4과04-02] 씨가 싹트는데 필요한 조건은 물과 온도로 한정하고, 식물이 자라는데 필요한 조건은 물과 햇빛으로 제한한다."
3~4,과학,생명,,"⋅동물의 생김새
⋅식물의 생김새",[4과04-03],생물의 한살이 과정을 조사하여 생물에 따라 한살이의 유형이 다양함을 소개하는 자료를 만들어 공유할 수 있다.,"여러 가지 생물의 한살이 과정을 조사하여 생물에 따라 한살이 유형이 다양함을 이해하고, 이를 소개하는 자료를 만들어 공유할 수 있다.",여러 가지 생물의 한살이 과정을 조사하여 생물에 따라 한살이 유형이 다양함을 말할 수 있다.,여러 가지 생물의 한살이 과정을 조사할 수 있다.,"[4과04-03] 한살이의 유형을 이해하는 생물의 범위는 동물과 식물에 한정하여 다루고, 식물의 한살이 유형은 한해살이와 여러해살이로 구분하여 이해하도록 한다."
3~4,과학,물질,"⋅물질은 여러 가지 상태로 존재하며, 구성 입자의 운동에 따라 물질의 상태와 물리적 성질이 변한다.
⋅물질의 상태 변화 및 화학 반응에는 에너지 출입이 수반되며, 이는 일상생활에 유용하게 활용된다.
⋅물질은 서로 구분할 수 있는 고유한 특성을 가지며, 물질의 특성은 일상생활의 다양한 혼합물 분리에 이용된다.
⋅화학 반응을 통해 물질은 다른 물질로 변하며, 화학 반응의 규칙성은 새로운 물질의 생성 원리가 된다.",⋅물체와 물질,[4과05-01],"물체를 이루는 여러 가지 물질의 성질을 비교하고, 물질의 종류에 따라 물체를 분류할 수 있다.","물체를 이루는 여러 가지 물질의 성질을 비교하여 설명하고, 물질의 종류에 따라 물체를 분류할 수 있다.",물체를 이루는 여러 가지 물질의 성질을 관찰하여 비교할 수 있다.,물체를 이루는 물질이 여러 가지임을 말할 수 있다.,"[4과05-01] 나무, 철, 유리, 플라스틱 등 학생들이 일상생활에서 쉽게 접할 수 있는 물질의 다양한 성질을 관찰하고 비교하는 활동에 중점을 두고, 이를 바탕으로 여러 가지 물체를 물질의 종류에 따라 분류하도록 한다."
3~4,과학,물질,,⋅물질의 세 가지 상태,[4과05-02],"물질의 세 가지 상태인 고체, 액체, 기체의 성질을 관찰하여 비교할 수 있다.","실험을 통해 물질의 세 가지 상태인 고체, 액체, 기체가 가진 성질을 관찰하고, 물질의 세 가지 상태의 성질을 비교하여 설명할 수 있다.","실험을 통해 물질의 세 가지 상태인 고체, 액체, 기체의 성질을 관찰하여 말할 수 있다.","우리 주변에 물질의 세 가지 상태인 고체, 액체, 기체가 있다는 것을 말할 수 있다.","[4과05-02] 물질의 세 가지 상태인 고체, 액체, 기체의 성질을 관찰하고 비교하는 활동에 중점을 두고, 한 가지 물질이 여러 가지 상태로 존재한다는 것은 다루지 않는다."
3~4,과학,물질,,,[4과05-03],다양한 물질의 성질을 이용하여 쓰임새 있는 물체를 설계할 수 있다.,"물체의 쓰임새에 적합한 성질을 가진 물질을 이용하여 물체를 설계하고, 물체의 쓰임새와 물질의 성질을 관련지어 설명할 수 있다.",물체의 쓰임새에 적합한 물질을 선택하여 물체를 설계할 수 있다.,다양한 물질의 성질을 이용하여 만들어진 물체를 찾아 말할 수 있다.,
3~4,과학,지구와 우주,"⋅지구계는 지권, 수권, 기권, 생물권 등으로 구성되며, 이러한 지구계 구성 요소들이 상호작용을 통해 에너지와 물질을 교환하는 과정에서 다양한 자연 현상들이 발생한다.
⋅암석과 화석, 지구 내부를 탐구함으로써 지질시대 동안 지구 환경과 생물의 변천 과정을 밝혀낼 수 있다.
⋅물은 땅과 바다, 대기 등으로 끊임없이 순환하면서 지표의 특징을 변화시키고 지하구조를 만든다.
⋅지구의 기후시스템은 태양 복사와 지구 복사, 인간 활동 등의 영향을 받으며, 이러한 요인들이 복합적으로 상호작용하여 나타난 기상 현상과 기후변화는 우리 생활과 지속가능성에 영향을 미친다.
⋅태양계는 행성 및 소천체 등으로 구성되며, 생성 과정에 따라 태양계 천체의 표면은 다양하게 나타난다.
⋅별의 표면 온도, 크기, 질량, 거리 등을 결정하는 데 관측 자료와 증거 기반 해석 등이 활용된다.","⋅지구의 대기
⋅바다의 특징",[4과06-01],"지구가 대기로 둘러싸여 있음을 알고, 지구 표면을 구성하는 육지와 바다의 특징을 비교할 수 있다.","지구가 대기로 둘러싸여 있음을 알고, 지구 표면을 구성하는 육지와 바다의 면적과 특징을 비교할 수 있다.","지구가 대기로 둘러싸여 있음을 알고, 지구 표면을 구성하는 육지와 바다의 면적을 비교할 수 있다.","지구에 대기, 육지, 바다가 있다는 것을 말할 수 있다.",
3~4,과학,지구와 우주,,"⋅바다의 특징
⋅바닷가 주변 지형
⋅파도",[4과06-02],"바닷물의 특징을 육지의 물과 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사할 수 있다.","육지의 물과 바닷물을 가열하여 남는 물질을 탐구하는 활동을 통해 바닷물의 특징을 육지의 물과 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사하여 발표할 수 있다.","육지의 물과 바닷물을 가열하여 남는 물질을 비교하고, 바닷가에서 볼 수 있는 다양한 지형을 조사할 수 있다.",육지의 물과 바닷물을 가열하여 남는 물질을 관찰할 수 있다.,"[4과06-02] 바닷물의 침식, 운반, 퇴적 작용에 대해서는 다루지 않는다."
3~4,과학,지구와 우주,,"⋅밀물과 썰물
⋅갯벌 보전",[4과06-03],"밀물과 썰물의 차이를 알고, 갯벌의 가치와 보전의 필요성을 설득⋅홍보할 수 있다.","밀물과 썰물의 차이를 설명하고, 갯벌의 가치와 보전의 필요성을 설득･홍보할 수 있는 홍보물을 제작할 수 있다.","밀물과 썰물 현상을 구별하고, 갯벌의 가치와 보전의 필요성을 말할 수 있다.","밀물과 썰물 현상이 있음을 알고, 갯벌의 소중함에 관심을 가진다.","[4과06-03] 밀물과 썰물은 바닷물의 높이 변화를 다루는 수준이며, 조석 용어와 원인에 대해서는 다루지 않는다."
3~4,과학,운동과 에너지,"⋅자연과 일상생활 속의 여러 가지 힘은 물체의 속력과 운동 방향을 변화시키고, 물체의 운동은 힘과 에너지를 통해 예측할 수 있으며, 이는 안전한 일상생활의 토대가 된다.
⋅전하와 전류는 다양한 전기와 자기 현상을 일으키고, 전기와 자기에 대한 성질은 전구, 전동기 등 여러 가지 전기 기구의 작동 원리로 유용하게 활용된다.
⋅열은 온도가 높은 곳에서 낮은 곳으로 이동하며, 일상생활에서는 단열 등 다양한 분야에 물질의 열적 성질이나 열의 이동 방식이 이용된다.
⋅빛과 소리는 반사, 굴절, 진동 등 파동의 특성을 가지며, 그 특성은 거울, 렌즈, 악기, 색의 구현 등 편리하고 심미적인 삶에 도움이 된다.",⋅소리의 발생,[4과07-01],"여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 물체는 떨림이 있음을 설명할 수 있다.","여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 현상을 관찰하여 소리가 나는 물체는 떨림이 있음을 설명할 수 있다.",소리굽쇠를 관찰하여 소리가 나는 소리굽쇠는 떨림이 있음을 설명할 수 있다.,"소리가 나는 물체의 예를 들고, 물체를 이용하여 소리를 낼 수 있다.",
3~4,과학,운동과 에너지,,"⋅소리의 세기
⋅소리의 높낮이",[4과07-02],"큰 소리와 작은 소리, 높은 소리와 낮은 소리를 구분하고, 세기와 높낮이가 다른 소리를 낼 수 있다.","물체의 길이에 따른 소리의 높낮이를 비교하고, 큰 소리와 작은 소리, 높은 소리와 낮은 소리를 내는 방법을 알고 소리를 낼 수 있다.","다양한 소리를 듣고, 큰 소리와 작은 소리, 높은 소리와 낮은 소리로 구분할 수 있다.",물체에 따라 다양한 소리가 나는 것을 말할 수 있다.,
3~4,과학,운동과 에너지,,⋅소리의 전달,[4과07-03],"여러 가지 물질을 통하여 소리가 전달되는 것을 관찰하고, 소음을 줄이는 방법을 찾아 일상생활에서 실천할 수 있다.","소리가 여러 가지 물질을 통하여 전달되는 것을 이해하고, 일상생활에서 소음을 줄이는 방법을 조사하여 실천할 수 있다.","여러 가지 물질을 통하여 소리가 전달되는 것을 관찰하고, 일상생활에서 소음을 줄이는 방법을 조사할 수 있다.","소리가 전달되고 있음을 알고, 일상생활에서 소음과 관련된 예를 들 수 있다.","[4과07-03] 소리가 여러 가지 물질을 통해 전달되는 현상을 관찰하는 데 중점을 두며, 소리 전달의 과학적 원리는 다루지 않도록 한다."
3~4,과학,과학과 사회,"⋅과학 탐구를 통해 얻은 과학기술은 질병의 발생 원인 규명과 예방법 마련 등 인류 복지에 기여하고, 인류가 처한 여러 가지 재난 상황 극복에 활용된다.
⋅과학기술은 자원과 에너지 등의 효율적 이용 방안을 제공하여 지속가능한 사회에 기여한다.
⋅과학기술의 발달은 미래 사회의 모습과 직업에 영향을 미치며, 개인은 이러한 미래 사회의 모습과 새로운 진로를 탐색하며 자신의 삶을 준비한다.","`⋅질병과 예방
⋅감염병과 건강한 생활",[4과08-01],"생활 속 감염병의 사례를 알고, 다양한 질병과 그 위험성에 대해 토의할 수 있다.",생활 속 감염병의 사례를 조사하여 다양한 질병과 그 위험성에 대해 토의할 수 있다.,생활 속 감염병 사례를 조사하여 질병의 위험성을 발표할 수 있다.,생활 속 감염병 사례를 조사하여 말할 수 있다.,[4과08-01] 질병은 예방접종이나 범유행 상황 등 학생이 경험하거나 인지할 수 있는 생활 속 질병을 다룬다.
3~4,과학,과학과 사회,,,[4과08-02],"감염병으로부터 안전한 사회에 관심을 가지고, 여러 감염 과정을 통해 생활 습관과 감염병 유행과의 연관성을 설명할 수 있다.","감염병으로부터 안전한 사회에 관심을 가지고, 여러 감염 과정과 관련지어 감염 예방 방법을 탐구하여 생활 습관과 감염병 유행이 연관되어 있음을 설명할 수 있다.","감염병에 대해 인식하고, 여러 감염 과정을 통해 감염병에 걸릴 수 있음을 이해하고, 감염을 예방하는 생활 습관에 대해 말할 수 있다.","감염병에 걸릴 수 있음을 알고, 이를 예방하는 생활 습관에 대해 말할 수 있다.","[4과08-02] 감염 과정은 생활 습관과 관련지을 수 있는 접촉 감염, 비말 감염, 공기 감염, 수인 감염, 타액 감염 등의 사례로 한정하여 다루며, 감염병의 특성과 면역 반응을 구체적으로 다루지 않는다."
3~4,과학,과학과 사회,,,[4과08-03],"건강한 생활을 위해 필요한 감염병 예방 수칙을 공유하고, 생활 속에서 실천할 수 있다.","건강한 생활을 위해 필요한 감염병 예방 수칙을 토의하여 공유하고, 생활 속에서 감염병 예방 수칙의 중요성을 인식하고 이를 실천할 수 있다.",건강한 생활을 위해 감염병 예방 수칙을 알고 공유할 수 있다.,건강한 생활을 위해 감염병 예방 수칙이 필요함을 말할 수 있다.,
3~4,과학,운동과 에너지,"⋅자연과 일상생활 속의 여러 가지 힘은 물체의 속력과 운동 방향을 변화시키고, 물체의 운동은 힘과 에너지를 통해 예측할 수 있으며, 이는 안전한 일상생활의 토대가 된다.
⋅전하와 전류는 다양한 전기와 자기 현상을 일으키고, 전기와 자기에 대한 성질은 전구, 전동기 등 여러 가지 전기 기구의 작동 원리로 유용하게 활용된다.
⋅열은 온도가 높은 곳에서 낮은 곳으로 이동하며, 일상생활에서는 단열 등 다양한 분야에 물질의 열적 성질이나 열의 이동 방식이 이용된다.
⋅빛과 소리는 반사, 굴절, 진동 등 파동의 특성을 가지며, 그 특성은 거울, 렌즈, 악기, 색의 구현 등 편리하고 심미적인 삶에 도움이 된다.
","⋅자석과 물체 사이의 힘
⋅자석과 자석 사이의 힘",[4과09-01],"자석과 여러 가지 물체를 가까이했을 때 나타나는 현상을 관찰하고, 자석과 자석에 붙는 물체 사이에 작용하는 힘의 특징을 말할 수 있다.",자석과 여러 가지 물체를 가까이했을 때 나타나는 다양한 현상을 통해 자석과 자석에 붙는 물체 사이에 작용하는 힘의 특징을 설명할 수 있다.,자석과 여러 가지 물체를 가까이했을 때 나타나는 현상을 관찰하여 자석에 붙는 물체들의 공통점을 찾을 수 있다.,자석과 여러 가지 물체를 가까이했을 때 나타나는 현상을 관찰하여 자석에 붙는 물체와 자석에 붙지 않는 물체를 분류할 수 있다.,"[4과09-01∼02] 자석과 물체, 자석과 자석 사이의 상호작용을 다루되, 자기장의 개념은 도입하지 않는다."
3~4,과학,운동과 에너지,,⋅자석의 극,[4과09-02],자석과 자석을 가까이했을 때 나타나는 현상을 관찰하여 그 특징을 자석의 극과 관련지어 설명할 수 있다.,"자석과 자석을 가까이했을 때 나타나는 현상을 관찰하여 같은 극과 다른 극 사이에서 나타나는 힘을 구분하여 이해하고, 이를 활용해 나침반과 자석 사이에 나타나는 현상을 설명할 수 있다.","자석에 두 극이 있음을 알고, 자석과 자석 사이에서 밀거나 당기는 힘이 작용함을 말할 수 있다.",자석과 자석을 가까이했을 때 나타나는 현상을 관찰할 수 있다.,"[4과09-01∼02] 자석과 물체, 자석과 자석 사이의 상호작용을 다루되, 자기장의 개념은 도입하지 않는다."
3~4,과학,운동과 에너지,,⋅자석의 이용,[4과09-03],자석을 이용하여 일상생활을 편리하게 하는 장치를 설계할 수 있다.,"자석의 성질을 이용하여 일상생활에 편리한 장치를 설계할 수 있고, 이 과정에서 과학의 유용성을 인식한다.",자석의 성질을 이용한 장치를 설계할 수 있다.,일상생활에서 자석을 이용한 장치를 보고 자석의 성질과 관련된 부분을 말할 수 있다.,
3~4,과학,물질,"⋅물질은 여러 가지 상태로 존재하며, 구성 입자의 운동에 따라 물질의 상태와 물리적 성질이 변한다.
⋅물질의 상태 변화 및 화학 반응에는 에너지 출입이 수반되며, 이는 일상생활에 유용하게 활용된다.
⋅물질은 서로 구분할 수 있는 고유한 특성을 가지며, 물질의 특성은 일상생활의 다양한 혼합물 분리에 이용된다.
⋅화학 반응을 통해 물질은 다른 물질로 변하며, 화학 반응의 규칙성은 새로운 물질의 생성 원리가 된다.",⋅물의 상태 변화,[4과10-01],"물이 세 가지 상태로 변할 수 있음을 알고, 우리 주변에서 예를 찾을 수 있다.","물이 수증기나 얼음으로 변할 수 있음을 말하고, 그 사례를 우리 주변에서 찾아 설명할 수 있다.",물의 세 가지 상태를 우리 주변에서 찾고 물이 수증기나 얼음으로 변할 수 있음을 말할 수 있다.,물의 세 가지 상태를 우리 주변에서 찾아 말할 수 있다.,"[4과10-01] 물의 상태 변화는 관찰 가능한 현상 수준에서만 다루고, 물의 상태가 변하는 까닭은 다루지 않는다."
3~4,과학,물질,,⋅물의 상태 변화,[4과10-02],"물이 얼 때, 얼음이 녹을 때, 물이 증발할 때와 끓을 때, 수증기가 응결할 때의 변화를 관찰할 수 있다.","실험을 통해 물이 얼 때와 얼음이 녹을 때, 물이 증발할 때와 끓을 때, 수증기가 응결할 때의 변화를 관찰하여 설명할 수 있다.","실험을 통해 물이 얼 때와 얼음이 녹을 때, 물이 증발할 때와 끓을 때의 변화를 관찰하여 설명할 수 있다.",실험을 통해 물이 얼 때와 얼음이 녹을 때의 변화를 관찰하여 말할 수 있다.,[4과10-02] 물이 얼 때와 얼음이 녹을 때의 부피 변화는 물기둥의 높이 변화로 관찰하도록 한다. 물의 증발과 끓음을 비교할 때는 물이 수증기로 상태가 변하는 현상이라는 공통점에 중점을 둔다.
3~4,과학,물질,,⋅물의 상태 변화,[4과10-03],물의 상태 변화를 이용하여 물을 얻을 수 있는 장치를 설계하고 만들 수 있다.,"물 부족의 심각성을 공감하고, 물의 상태 변화를 이용하여 물을 얻는 장치를 설계하고 제작할 수 있다.","물의 중요성을 인식하고, 물의 상태 변화를 이용하여 물을 얻는 장치를 설계할 수 있다.","물을 얻는 장치를 설계하는 과정에 참여하고, 물의 중요성을 말할 수 있다.",
3~4,과학,지구와 우주,"⋅지구계는 지권, 수권, 기권, 생물권 등으로 구성되며, 이러한 지구계 구성 요소들이 상호작용을 통해 에너지와 물질을 교환하는 과정에서 다양한 자연 현상들이 발생한다.
⋅암석과 화석, 지구 내부를 탐구함으로써 지질시대 동안 지구 환경과 생물의 변천 과정을 밝혀낼 수 있다.
⋅물은 땅과 바다, 대기 등으로 끊임없이 순환하면서 지표의 특징을 변화시키고 지하구조를 만든다.
⋅지구의 기후시스템은 태양 복사와 지구 복사, 인간 활동 등의 영향을 받으며, 이러한 요인들이 복합적으로 상호작용하여 나타난 기상 현상과 기후변화는 우리 생활과 지속가능성에 영향을 미친다.
⋅태양계는 행성 및 소천체 등으로 구성되며, 생성 과정에 따라 태양계 천체의 표면은 다양하게 나타난다.
⋅별의 표면 온도, 크기, 질량, 거리 등을 결정하는 데 관측 자료와 증거 기반 해석 등이 활용된다.",⋅강 주변 지형,[4과11-01],흐르는 물의 작용과 강 주변 지형의 특징을 관련지을 수 있다.,"흙 언덕을 만들고 물을 흘려보낸 후, 흙이 깎이는 곳과 쌓이는 곳을 관찰하여 흐르는 물의 침식, 운반, 퇴적 작용을 이해하고, 강 주변 지형의 특징을 물의 작용과 관련지어 설명할 수 있다.","흙 언덕을 만들고 물을 흘려보낸 후, 흙이 깎이는 곳과 쌓이는 곳을 관찰하여 흐르는 물의 침식, 운반, 퇴적 작용을 설명할 수 있다.","흙 언덕을 만들고 물을 흘려보낸 후, 흙이 깎이는 곳과 쌓이는 곳을 찾아 말할 수 있다.","[4과11-01] 강 주변 지형은 흐르는 물에 의한 침식, 운반, 퇴적 작용을 중심으로 다룬다."
3~4,과학,지구와 우주,,⋅화산 활동,[4과11-02],"화산의 의미와 화산 활동으로 나오는 물질을 알고, 화산 활동을 모형으로 표현할 수 있다.","화산의 의미와 화산 활동으로 나오는 물질을 알고, 화산 활동을 모형으로 표현하여 설명할 수 있다.","화산의 의미를 알고, 화산 활동 모형에서 화산 활동으로 나오는 물질을 찾을 수 있다.","화산의 의미를 알고, 화산 활동 모형 만들기 활동에 참여할 수 있다.",[4과11-02] 화산 활동과 화산 분출물을 중심으로 학습한다.
3~4,과학,지구와 우주,,⋅화성암,[4과11-03],화성암을 관찰하고 분류할 수 있다.,"화성암이 화산 활동과 관련되어 있음을 알고, 현무암과 화강암을 관찰하여 특징에 따라 분류할 수 있다.","현무암과 화강암을 관찰하고, 알갱이의 크기에 따라 분류할 수 있다.","현무암과 화강암을 관찰하고, 색을 비교할 수 있다.",[4과11-03] 화성암은 현무암과 화강암만 다룬다.
3~4,과학,지구와 우주,,⋅지진 대처 방법,[4과11-04],"화산 활동과 지진이 우리 생활에 미치는 영향을 조사하여, 대처 방법을 실천할 수 있다.","화산 활동과 지진이 우리 생활에 미치는 영향을 조사하고, 화산 활동과 지진에 안전하게 대처하는 방법을 찾아 실천할 수 있다.","화산 활동과 지진으로부터 안전한 사회에 관심을 가지고, 지진의 피해를 줄이기 위한 대처 방법을 찾아 실천할 수 있다.",지진의 피해를 줄이기 위한 대처 방법을 말할 수 있다.,"[4과11-04] 화산 활동의 피해와 이로운 점을 함께 다루며, 지진 발생 원인은 다루지 않는다."
3~4,과학,생명,"⋅생물은 세포로 이루어져 있고, 여러 구성 단계가 유기적으로 연관되어 있으며, 조화로운 작용을 통해 건강한 몸을 유지한다.
⋅식물은 광합성으로 양분을 만들며, 생물은 호흡을 통해 생명 활동에 필요한 에너지를 얻는다.
⋅동물은 다양한 감각 기관을 통해 자극을 받아들이고, 신경계와 호르몬의 작용을 통해 반응한다.
⋅생물은 생식을 통해 자손을 생산하고, 생물의 형질은 유전자에 의해 자손에게 전달되며, 생물의 유전 현상은 사람의 가계에서도 관찰된다.
⋅우리 주변의 다양한 생물은 환경과 영향을 주고받으며 밀접한 관계를 맺고 있으며, 생물다양성은 생태계와 인간의 삶과도 밀접하게 관련되어 있다.","⋅균류, 원생생물, 세균의 특징",[4과12-01],균류⋅원생생물⋅세균을 관찰하여 특징과 사는 곳을 설명할 수 있다.,"균류･원생생물･세균을 디지털현미경이나 실체현미경, 사진 자료 등을 활용하여 관찰하고, 생물의 특징과 사는 곳을 설명할 수 있다.","균류･원생생물･세균을 관찰하고, 그 특징을 말할 수 있다.",균류･원생생물･세균의 종류를 말할 수 있다.,
3~4,과학,생명,,"⋅균류, 원생생물, 세균의 특징",[4과12-02],균류⋅원생생물⋅세균이 우리 생활에 미치는 영향을 조사하여 발표할 수 있다.,균류･원생생물･세균이 우리 생활에 미치는 긍정적인 영향과 부정적인 영향을 조사하여 발표할 수 있다.,균류･원생생물･세균이 우리 생활에 미치는 영향을 조사할 수 있다.,균류･원생생물･세균이 우리 생활에 영향을 미친다는 것을 말할 수 있다.,
3~4,과학,생명,,"⋅균류, 원생생물, 세균의 특징",[4과12-03],우리 생활에 생명과학이 이용되는 사례를 소개하는 자료를 만들어 공유할 수 있다.,"우리 생활에 생명과학이 이용되는 사례를 조사하여 소개하는 자료를 만들어 공유하고, 이 과정에서 과학의 유용성을 인식할 수 있다.","우리 생활에 생명과학이 이용되는 사례를 조사하여 소개하는 자료를 만들고, 이 과정에서 생명과학에 흥미와 호기심을 가진다.","우리 생활에 생명과학이 이용되는 사례를 조사하고, 이 과정에서 생명과학에 관심을 가진다.","[4과12-03] 우리 생활에 생명과학이 이용되는 사례는 균류, 원생생물, 세균을 중심으로 학생들이 생활 속에서 경험하고 인지할 수 있는 수준으로 다룬다."
3~4,과학,지구와 우주,"⋅지구계는 지권, 수권, 기권, 생물권 등으로 구성되며, 이러한 지구계 구성 요소들이 상호작용을 통해 에너지와 물질을 교환하는 과정에서 다양한 자연 현상들이 발생한다.
⋅암석과 화석, 지구 내부를 탐구함으로써 지질시대 동안 지구 환경과 생물의 변천 과정을 밝혀낼 수 있다.
⋅물은 땅과 바다, 대기 등으로 끊임없이 순환하면서 지표의 특징을 변화시키고 지하구조를 만든다.
⋅지구의 기후시스템은 태양 복사와 지구 복사, 인간 활동 등의 영향을 받으며, 이러한 요인들이 복합적으로 상호작용하여 나타난 기상 현상과 기후변화는 우리 생활과 지속가능성에 영향을 미친다.
⋅태양계는 행성 및 소천체 등으로 구성되며, 생성 과정에 따라 태양계 천체의 표면은 다양하게 나타난다.
⋅별의 표면 온도, 크기, 질량, 거리 등을 결정하는 데 관측 자료와 증거 기반 해석 등이 활용된다.","⋅달의 모양과 표면
⋅달의 위상변화",[4과13-01],"달의 모양과 표면, 달의 위상변화를 관찰하여 밤하늘 관찰에 흥미를 가질 수 있다.","달의 모양과 표면, 여러 날 동안 보이는 달의 위상 변화를 관찰하여 달의 모양이 주기적으로 바뀌는 것을 알고, 밤하늘 관찰에 흥미를 가진다.","여러 날 동안 보이는 달의 모양을 관찰하고, 밤하늘 관찰에 흥미를 가진다.",달을 관찰하고 밤하늘 관찰에 관심을 가진다.,"[4과13-01] 달의 위상변화 원인을 다루지 않고, 달의 모양이 주기적으로 바뀌는 현상을 관찰하여 확인하는 데 초점을 둔다."
